country_num	wevent	wpart_all	lpopw_part_all	duration	election_number	t_vote	t1_vote	vote_change	government	prime_minister	day_t1	month_t1	year_t1	day_t	month_t	year_t	imf	bailout	crisis_election	party_name	unemployment_change	debt_change	gdp_change	east	country_iso	parfam	party_mainstream	party_left
1	21.0	2704451.0	858075.8207845688	46.0	0	0.0	4.11	4.11	0	0	1	10	2006	24	11	2002	0	0	0	"BZO"	0.5	-2.0	28.21168	0	"AT"	6.0	0.0	0.0
1	20.0	9772.5	3100.6464014053345	60.0	2	10.7	3.5	-7.2	0	0	29	9	2013	29	9	2008	0	0	1	"BZO"	1.0	14.2	10.72444	0	"AT"	6.0	0.0	0.0
1	2.0	3600.0	1142.2181701660156	24.0	1	4.11	10.7	6.59	0	0	29	9	2008	1	10	2006	0	0	0	"BZO"	-0.8	-4.0	9.153	0	"AT"	6.0	0.0	0.0
1	2.0	3600.0	1142.2181701660156	24.0	1	11.04	17.54	6.5	0	0	29	9	2008	1	10	2006	0	0	0	"FPO"	-0.8	-4.0	9.153	0	"AT"	6.0	0.0	0.0
1	21.0	2704451.0	858075.8207845688	46.0	0	10.01	11.04	1.03	1	0	1	10	2006	24	11	2002	0	0	0	"FPO"	0.5	-2.0	28.21168	0	"AT"	6.0	0.0	0.0
1	13.0	44584.5	14145.895790100098	35.0	-1	26.9	10.01	-16.89	1	0	24	11	2002	3	10	1999	0	0	0	"FPO"	0.1	1.8	10.67054	0	"AT"	6.0	0.0	0.0
1	20.0	9772.5	3100.6464014053345	60.0	2	17.54	20.5	2.96	0	0	29	9	2013	29	9	2008	0	0	1	"FPO"	1.0	14.2	10.72444	0	"AT"	6.0	0.0	0.0
1	20.0	9772.5	3100.6464014053345	60.0	2	0.0	5.7	5.7	0	0	29	9	2013	29	9	2008	0	0	1	"FRANK"	1.0	14.2	10.72444	0	"AT"	7.0	0.0	0.0
1	20.0	9772.5	3100.6464014053345	60.0	2	10.4	12.4	2.0	0	0	29	9	2013	29	9	2008	0	0	1	"Greens"	1.0	14.2	10.72444	0	"AT"	4.0	0.0	1.0
1	13.0	44584.5	14145.895790100098	35.0	-1	7.4	9.47	2.07	0	0	24	11	2002	3	10	1999	0	0	0	"Greens"	0.1	1.8	10.67054	0	"AT"	4.0	0.0	1.0
1	21.0	2704451.0	858075.8207845688	46.0	0	9.47	11.1	1.63	0	0	1	10	2006	24	11	2002	0	0	0	"Greens"	0.5	-2.0	28.21168	0	"AT"	4.0	0.0	1.0
1	2.0	3600.0	1142.2181701660156	24.0	1	11.1	10.4	-0.7	0	0	29	9	2008	1	10	2006	0	0	0	"Greens"	-0.8	-4.0	9.153	0	"AT"	4.0	0.0	1.0
1	20.0	9772.5	3100.6464014053345	60.0	2	0.0	5.0	5.0	0	0	29	9	2013	29	9	2008	0	0	1	"NEOS"	1.0	14.2	10.72444	0	"AT"	3.0	1.0	0.0
1	20.0	9772.5	3100.6464014053345	60.0	2	26.0	24.0	-2.0	1	0	29	9	2013	29	9	2008	0	0	1	"OVP"	1.0	14.2	10.72444	0	"AT"	2.0	1.0	0.0
1	2.0	3600.0	1142.2181701660156	24.0	1	34.3	26.0	-8.3	1	0	29	9	2008	1	10	2006	0	0	0	"OVP"	-0.8	-4.0	9.153	0	"AT"	2.0	1.0	0.0
1	13.0	44584.5	14145.895790100098	35.0	-1	26.9	42.3	15.4	1	1	24	11	2002	3	10	1999	0	0	0	"OVP"	0.1	1.8	10.67054	0	"AT"	2.0	1.0	0.0
1	21.0	2704451.0	858075.8207845688	46.0	0	42.3	34.3	-8.0	1	1	1	10	2006	24	11	2002	0	0	0	"OVP"	0.5	-2.0	28.21168	0	"AT"	2.0	1.0	0.0
1	20.0	9772.5	3100.6464014053345	60.0	2	4.2	2.1	-2.1	0	0	29	9	2013	29	9	2008	0	0	1	"Others"	1.0	14.2	10.72444	0	"AT"	7.0	0.0	0.0
1	21.0	2704451.0	858075.8207845688	46.0	0	36.51	35.3	-1.21	0	0	1	10	2006	24	11	2002	0	0	0	"SPO"	0.5	-2.0	28.21168	0	"AT"	1.0	1.0	1.0
1	2.0	3600.0	1142.2181701660156	24.0	1	35.3	29.3	-6.0	1	1	29	9	2008	1	10	2006	0	0	0	"SPO"	-0.8	-4.0	9.153	0	"AT"	1.0	1.0	1.0
1	20.0	9772.5	3100.6464014053345	60.0	2	29.3	26.8	-2.5	1	1	29	9	2013	29	9	2008	0	0	1	"SPO"	1.0	14.2	10.72444	0	"AT"	1.0	1.0	1.0
1	13.0	44584.5	14145.895790100098	35.0	-1	33.2	36.51	3.31	0	0	24	11	2002	3	10	1999	0	0	0	"SPO"	0.1	1.8	10.67054	0	"AT"	1.0	1.0	1.0
1	21.0	2704451.0	858075.8207845688	46.0	0	1.71	3.8	2.09	0	0	1	10	2006	24	11	2002	0	0	0	"others"	0.5	-2.0	28.21168	0	"AT"	7.0	0.0	0.0
1	13.0	44584.5	14145.895790100098	35.0	-1	5.1	1.71	-3.39	0	0	24	11	2002	3	10	1999	0	0	0	"others"	0.1	1.8	10.67054	0	"AT"	7.0	0.0	0.0
1	2.0	3600.0	1142.2181701660156	24.0	1	3.8	4.2	0.4	0	0	29	9	2008	1	10	2006	0	0	0	"others"	-0.8	-4.0	9.153	0	"AT"	7.0	0.0	0.0
2	35.0	444886.0	129567.87934875488	49.0	0	18.72	24.6	5.88	0	0	10	6	2007	18	5	2003	0	0	0	"Christian Democratic"	0.0	-15.5	21.60293	0	"BE"	2.0	1.0	0.0
2	64.0	277801.0	80906.31301650405	36.0	1	24.6	16.4	-8.2	1	1	13	6	2010	10	6	2007	0	0	1	"Christian Democratic"	0.9	8.7	5.948514	0	"BE"	2.0	1.0	0.0
2	64.0	1352100.0	393783.40888786316	47.0	2	16.4	16.6	0.2	1	0	25	5	2014	13	6	2010	0	0	1	"Christian Democratic"	0.1	4.9	7.5609	0	"BE"	2.0	1.0	0.0
2	102.0	242149.0	70523.08227825165	41.0	-1	20.0	18.72	-1.28	0	0	18	5	2003	13	6	1999	0	0	0	"Christian Democratic"	-0.5	-13.8	15.60636	0	"BE"	2.0	1.0	0.0
2	64.0	1352100.0	393783.40888786316	47.0	2	9.2	8.6	-0.6	0	0	25	5	2014	13	6	2010	0	0	1	"Ecolo+Green!"	0.1	4.9	7.5609	0	"BE"	4.0	0.0	1.0
2	102.0	242149.0	70523.08227825165	41.0	-1	14.4	5.53	-8.87	1	0	18	5	2003	13	6	1999	0	0	0	"Ecolo+Green!"	-0.5	-13.8	15.60636	0	"BE"	4.0	0.0	1.0
2	35.0	444886.0	129567.87934875488	49.0	0	5.53	9.1	3.57	0	0	10	6	2007	18	5	2003	0	0	0	"Ecolo+Green!"	0.0	-15.5	21.60293	0	"BE"	4.0	0.0	1.0
2	64.0	277801.0	80906.31301650405	36.0	1	9.1	9.2	0.1	0	0	13	6	2010	10	6	2007	0	0	1	"Ecolo+Green!"	0.9	8.7	5.948514	0	"BE"	4.0	0.0	1.0
2	102.0	242149.0	70523.08227825165	41.0	-1	24.4	26.76	2.36	1	1	18	5	2003	13	6	1999	0	0	0	"Liberals"	-0.5	-13.8	15.60636	0	"BE"	3.0	1.0	0.0
2	35.0	444886.0	129567.87934875488	49.0	0	26.76	24.3	-2.46	1	1	10	6	2007	18	5	2003	0	0	0	"Liberals"	0.0	-15.5	21.60293	0	"BE"	3.0	1.0	0.0
2	64.0	1352100.0	393783.40888786316	47.0	2	17.9	19.4	1.5	1	0	25	5	2014	13	6	2010	0	0	1	"Liberals"	0.1	4.9	7.5609	0	"BE"	3.0	1.0	0.0
2	64.0	277801.0	80906.31301650405	36.0	1	24.3	17.9	-6.4	1	0	13	6	2010	10	6	2007	0	0	1	"Liberals"	0.9	8.7	5.948514	0	"BE"	3.0	1.0	0.0
2	102.0	242149.0	70523.08227825165	41.0	-1	5.9	6.33	0.43	0	0	18	5	2003	13	6	1999	0	0	0	"Others"	-0.5	-13.8	15.60636	0	"BE"	7.0	0.0	0.0
2	64.0	1352100.0	393783.40888786316	47.0	2	4.8	6.8	2.0	0	0	25	5	2014	13	6	2010	0	0	1	"Others"	0.1	4.9	7.5609	0	"BE"	7.0	0.0	0.0
2	64.0	277801.0	80906.31301650405	36.0	1	3.9	4.8	0.9	0	0	13	6	2010	10	6	2007	0	0	1	"Others"	0.9	8.7	5.948514	0	"BE"	7.0	0.0	0.0
2	35.0	444886.0	129567.87934875488	49.0	0	6.33	3.9	-2.43	0	0	10	6	2007	18	5	2003	0	0	0	"Others"	0.0	-15.5	21.60293	0	"BE"	7.0	0.0	0.0
2	102.0	242149.0	70523.08227825165	41.0	-1	19.8	27.93	8.13	1	0	18	5	2003	13	6	1999	0	0	0	"Socialists-social democrats"	-0.5	-13.8	15.60636	0	"BE"	1.0	1.0	1.0
2	64.0	277801.0	80906.31301650405	36.0	1	21.2	22.9	1.7	1	0	13	6	2010	10	6	2007	0	0	1	"Socialists-social democrats"	0.9	8.7	5.948514	0	"BE"	1.0	1.0	1.0
2	64.0	1352100.0	393783.40888786316	47.0	2	22.9	20.5	-2.4	1	1	25	5	2014	13	6	2010	0	0	1	"Socialists-social democrats"	0.1	4.9	7.5609	0	"BE"	1.0	1.0	1.0
2	35.0	444886.0	129567.87934875488	49.0	0	27.93	21.2	-6.73	1	0	10	6	2007	18	5	2003	0	0	0	"Socialists-social democrats"	0.0	-15.5	21.60293	0	"BE"	1.0	1.0	1.0
2	102.0	242149.0	70523.08227825165	41.0	-1	5.6	0.0	-5.6	0	0	18	5	2003	13	6	1999	0	0	0	"VU (VU-ID21)"	-0.5	-13.8	15.60636	0	"BE"	7.0	0.0	0.0
2	64.0	1352100.0	393783.40888786316	47.0	2	1.9	3.7	1.8	0	0	25	5	2014	13	6	2010	0	0	1	"Workers Party of Belgium (Communist)"	0.1	4.9	7.5609	0	"BE"	5.0	0.0	1.0
2	35.0	444886.0	129567.87934875488	49.0	0	14.74	16.0	1.26	0	0	10	6	2007	18	5	2003	0	0	0	"npr+flemisch regionalists"	0.0	-15.5	21.60293	0	"BE"	6.0	0.0	0.0
2	64.0	277801.0	80906.31301650405	36.0	1	23.2	27.5	4.3	0	0	13	6	2010	10	6	2007	0	0	1	"npr+flemisch regionalists"	0.9	8.7	5.948514	0	"BE"	6.0	0.0	0.0
2	102.0	242149.0	70523.08227825165	41.0	-1	9.9	14.74	4.84	0	0	18	5	2003	13	6	1999	0	0	0	"npr+flemisch regionalists"	-0.5	-13.8	15.60636	0	"BE"	6.0	0.0	0.0
2	64.0	1352100.0	393783.40888786316	47.0	2	27.5	24.4	-3.1	0	0	25	5	2014	13	6	2010	0	0	1	"npr+flemisch regionalists"	0.1	4.9	7.5609	0	"BE"	6.0	0.0	0.0
3	3.0	2049.0	692.2075157165527	17.0	3	0.0	4.2	4.2	0	0	5	10	2014	12	5	2013	0	0	1	"Alternative for Bulgarian Development (ABV)"	-9.9	-38.5	49.53288	1	"BG"	1.0	1.0	1.0
3	3.0	2049.0	692.2075157165527	17.0	3	7.3	4.5	-2.8	0	0	5	10	2014	12	5	2013	0	0	1	"Attack (ATAKA)"	-9.9	-38.5	49.53288	1	"BG"	6.0	0.0	0.0
3	47.0	44812.0	15138.70357081294	46.0	2	6.8	4.3	-2.5	0	0	12	5	2013	14	7	2009	0	0	1	"Blue coalition (SK). SDS"	7.4	4.3	14.33467	1	"BG"	2.0	1.0	0.0
3	55.0	280325.0	94701.35435342789	48.0	1	19.3	6.8	-12.5	0	0	14	7	2009	11	7	2005	1	1	1	"Blue coalition (SK). SDS"	-3.7	-12.9	50.21113	1	"BG"	2.0	1.0	0.0
3	11.0	129500.0	43748.59864807129	18.0	-1	57.8	21.81	-35.99	1	1	17	6	2001	19	4	1997	0	0	0	"Blue coalition (SK). SDS"	8.6	-42.3	73.93001	1	"BG"	2.0	1.0	0.0
3	21.0	1149252.5	388248.52406430244	49.0	0	21.81	19.3	-2.51	0	0	11	7	2005	17	6	2001	1	1	0	"Blue coalition (SK). SDS"	-9.9	-38.5	49.53288	1	"BG"	2.0	1.0	0.0
3	3.0	2049.0	692.2075157165527	17.0	3	0.0	5.7	5.7	0	0	5	10	2014	12	5	2013	0	0	1	"Bulgaria Without Censorship (BBC)"	-9.9	-38.5	49.53288	1	"BG"	6.0	0.0	0.0
3	3.0	2049.0	692.2075157165527	17.0	3	26.6	15.4	-11.2	1	1	5	10	2014	12	5	2013	0	0	1	"Bulgarian Socialist Party�[+ minor parties] (BSP)"	-9.9	-38.5	49.53288	1	"BG"	1.0	1.0	1.0
3	3.0	2049.0	692.2075157165527	17.0	3	30.5	32.7	2.2	0	0	5	10	2014	12	5	2013	0	0	1	"Citizens for European Development of Bulgaria (GERB)"	-9.9	-38.5	49.53288	1	"BG"	2.0	1.0	0.0
3	55.0	280325.0	94701.35435342789	48.0	1	0.0	39.9	39.9	0	0	14	7	2009	11	7	2005	1	1	1	"GERB (Conservative)"	-3.7	-12.9	50.21113	1	"BG"	2.0	1.0	0.0
3	47.0	44812.0	15138.70357081294	46.0	2	39.9	30.5	-9.4	1	1	12	5	2013	14	7	2009	0	0	1	"GERB (Conservative)"	7.4	4.3	14.33467	1	"BG"	2.0	1.0	0.0
3	21.0	1149252.5	388248.52406430244	49.0	0	3.63	0.0	-3.63	0	0	11	7	2005	17	6	2001	1	1	0	"George Day (IMRO)"	-9.9	-38.5	49.53288	1	"BG"	2.0	1.0	0.0
3	11.0	129500.0	43748.59864807129	18.0	-1	0.0	3.63	3.63	0	0	17	6	2001	19	4	1997	0	0	0	"George Day (IMRO)"	8.6	-42.3	73.93001	1	"BG"	2.0	1.0	0.0
3	3.0	2049.0	692.2075157165527	17.0	3	11.3	14.8	3.5	1	0	5	10	2014	12	5	2013	0	0	1	"Movement for Rights and Freedoms (DPS)"	-9.9	-38.5	49.53288	1	"BG"	3.0	1.0	0.0
3	11.0	129500.0	43748.59864807129	18.0	-1	0.0	42.74	42.74	0	0	17	6	2001	19	4	1997	0	0	0	"NDSV (Simeon II)"	8.6	-42.3	73.93001	1	"BG"	3.0	1.0	0.0
