country_num	wevent	wpart_all	lpopw_part_all	duration	election_number	pm_t_vote	pm_t1_vote	day_t1	month_t1	year_t1	day_t	month_t	year_t	imf	bailout	crisis_election	east	coalition_government	unemployment_change	debt_change	gdp_change	swing	switzerland	pm_vote_change	country_iso	react_wevent	react_lpopw_part_all
1	13.0	44584.5	14145.895790100098	35.0	-1	26.9	42.3	24	11	2002	3	10	1999	0	0	0	0	0	0.1	1.8	10.67054	-1.4	0	15.4	"AT"	21.0	858075.8
1	21.0	2704451.0	858075.8207845688	46.0	0	42.3	34.3	1	10	2006	24	11	2002	0	0	0	0	0	0.5	-2.0	28.21168	15.39	0	-8.0	"AT"	2.0	1142.2181
1	2.0	3600.0	1142.2181701660156	24.0	1	35.3	29.3	29	9	2008	1	10	2006	0	0	0	0	0	-0.8	-4.0	9.153	-1.209999	0	-6.0	"AT"	20.0	3100.6465
1	20.0	9772.5	3100.6464014053345	60.0	2	29.3	26.8	29	9	2013	29	9	2008	0	0	1	0	0	1.0	14.2	10.72444	-6.0	0	-2.5	"AT"		
2	102.0	242149.0	70523.08227825165	41.0	-1	24.4	26.76	18	5	2003	13	6	1999	0	0	0	0	0	-0.5	-13.8	15.60636	0.8999996	0	2.360001	"BE"	35.0	129567.88
2	35.0	444886.0	129567.87934875488	49.0	0	26.76	24.3	10	6	2007	18	5	2003	0	0	0	0	0	0.0	-15.5	21.60293	2.360001	0	-2.460001	"BE"	64.0	80906.31
2	64.0	277801.0	80906.31301650405	36.0	1	24.6	16.4	13	6	2010	10	6	2007	0	0	1	0	0	0.9	8.7	5.948514	5.880001	0	-8.200001	"BE"	64.0	393783.4
2	64.0	1352100.0	393783.40888786316	47.0	2	22.9	20.5	25	5	2014	13	6	2010	0	0	1	0	0	0.1	4.9	7.5609	1.699999	0	-2.4	"BE"		
3	11.0	129500.0	43748.59864807129	18.0	-1	52.3	18.2	17	6	2001	19	4	1997	0	0	0	1	0	8.6	-42.3	73.93001	29.8	0	-34.1	"BG"	21.0	388248.53
3	21.0	1149252.5	388248.52406430244	49.0	0	42.74	19.9	11	7	2005	17	6	2001	1	1	0	1	0	-9.9	-38.5	49.53288	42.74	0	-22.84	"BG"	55.0	94701.35
